album,released,name,text
"Fleurs 2
      ",2008,Et maintenant,"Et maintenant que vais-je faire De tout ce temps que sera ma vie De tous ces gens qui m'indiffèrent Maintenant que tu es partie Toutes ces nuite, pourquoi pour qui Et ce matin qui revient pour rien Ce coeur qui bat, pour qui, pour quoi Qui bat trop fort, trop fort Et maintenant que vais-je faire Vers quel néant glissera ma vie Tu m'as laissé la terre entière Mais la terre sans toi c'est petit Vous, mes amis, soyez gentils Vous savez bien que l'on n'y peut rien Même paris crève d'ennui Toutes ses rues me tuent Et maintenant que vais-je faire Je vais en rire pour ne plus pleurer Je vais brûler des nuits entières Au matin je te haïrai Et puis un soir dans mon miroir Je verrai bien la fin du chemin Pas une fleur et pas de pleurs Au moment de l'adieu Je n'ai vraiment plus rien à faire Je n'ai vraiment plus rien........"
"Genesi
      ",1987,Prima di me,[Coro] Prima di me vivevo già sotto altre forme La densità della materia diminuiva
"Gilgamesh
      ",1992,Exultet,"[Coro] Deo nostro. Vere dignum et ĭustum est, invisibĭlem Deum Pătrĕm Omnipotēntĕm, Fīlĭumque eĭus unigenĭtum, Domĭnum nostrum Iesum Christum, [Baritono] Toto cordis ac mentis affēctu, et vocis ministerĭo personāre. [Coro] Qui pro nobis. [Voce] Exultet iam angelĭca turba cælōrum: exultent divĭna mysterĭa: et pro tanti Regis victorĭa, turba insonet salutāris. Gaudĕat et tellus tantis irradiata fulgorĭbus: totīus orbis se sentĭat amisisse caligĭnĕm. [Coro] Exultet iam angelĭca turba cælōrum: exultent divĭna mysterĭa [Mezzosoprano, baritono e voce] Sursum corda. Habēmus ad Domĭnum. [Mezzosoprano] Lætētur et mātĕr Ecclesĭa, tanti lumĭnis adornāta fulgorĭbus: et magnis populōrum vōcĭbus hæc aula resultet. [Voce] Quapropter astāntes vos, frātres carissĭmi, ad tam miram huĭus sancti lumĭnis claritātĕm, una mecum, quæso, Dei omnipotēntis. [Mezzosoprano e baritono] Misericordĭam invocāte. [Coro] Vobiscum et cum spirĭtu tuo. [Mezzosoprano e baritono] Hæc nox est, in qua primum pătres nostros fīlĭos Israël eductos de Ægypto. [Coro] Orāmus ergo te, Domĭne, orāmus. [Voce] Toto cordis ac mentis affēctu, et vocis ministerĭo personāre. [Coro] Qui pro nobis. [Tutti] Hæc nox est, in qua primum pătres nostros fīlĭos Israël eductos de Ægypto. Exultet iam angelĭca turba cælōrum: exultent divĭna mysterĭa: et pro tanti Regis victorĭa, turba insonet salutāris. Gaudĕat et tellus tantis irradiata fulgorĭbus: totīus orbis se sentĭat amisisse caligĭnĕm."
"Gilgamesh
      ",1992,Enkidu muore,"[Coro] Enkidu muore, chiamate Gilgamesh! [Parlato] Quando apparvero le prime luci dell’alba, Gilgamesh mandò un grido che si sparse su tutta la terra. Disperato disse: ""Ti farò riposare su un letto preparato con amorevole cura, i prìncipi della terra ti baceranno i piedi e io stesso trascurerò il mio aspetto e vagherò in aperta campagna. La tristezza è entrata nel più profondo del mio essere e, solo adesso, scopro di avere paura della Morte!""."
"Gilgamesh
      ",1992,Era Felice,"[Soprano & Baritono] Era felice Gilgamesh in quella vita, in quel tempo, che a contemplarlo lo si fermava."
"Fleurs 2
      ",2008,La musica muore,"Sono anni che non cambia niente Tutto è chiuso in un sacco a pelo Con un dito quante macchine ho fermato Quanti stop alle frontiere ho sopportato Degli Stones amavo Satisfaction E dei Doors come on baby light my fire Ascoltavo Penny Lane per ore ed ore Mi ritorna l’eco dei concerti Mi ritorna l’acqua dentro il sacco a pelo Tutt’intorno i fuochi ormai si sono spenti Non resta che un pallido colore ...la musica muore Parco lambro, Woodstock, l’isola di White Quanta gente strana ho incontrato per strada Giravo per l’Europa da Londra ad Amsterdam... On the road again, my generation"
"Nomadas
      ",1987,Mal De África,"Ya comido, se iba a descansar Mecido por las mosquiteras y por el ruido en la cocina Por las ventanas entreabiertas, reflejos en la pared Y alguna cosa abstracta se adueñaba de mí Sentía hablar bajito para no molestar Y era como un mal de África, mal de África Saturday night Im a dreamer I cant live without you On my own lies a photograph Please come back and stand by me Con las sillas sentados en la calle Pantalón corto y camiseta por el calor que hacía En la ventana tras la reja mi padre se peinaba El olor de brillantina se apoderaba de mí El placer de sentirse juntos para criticar Y era como un mal de África, mal de África En la ventana tras la reja mi padre se peinaba El olor de brillantina se apoderaba de mí El placer de sentirse juntos para criticar Y era como un mal de África, mal de África"
"Genesi
      ",1987,La nascita non è un principio,[Tenore] La nascita non è un principio [Baritono] La morte non è una fine [Soli] La memoria si risveglia
"Giubbe Rosse
      ",1989,Voglio vederti danzare,"[Strofa 1] Voglio vederti danzare Come le zingare del deserto Con candelabri in testa O come le balinesi nei giorni di festa Voglio vederti danzare Come i Dervisches Tourners Che girano sulle spine dorsali O al suono di cavigliere del Katakali [Ritornello] E gira tutt'intorno la stanza Mentre si danza, danza E gira tutt'intorno la stanza Mentre si danza [Strofa 2] E Radio Tirana trasmette Musiche balcaniche, mentre Danzatori bulgari A piedi nudi sui braceri ardenti Nell'Irlanda del nord Nelle balere estive Coppie di anziani che ballano Al ritmo di sette ottavi [Ritornello] Gira tutt'intorno la stanza Mentre si danza, danza E gira tutt'intorno la stanza Mentre si danza [Strofa 3] Nei ritmi ossessivi la chiave Dei riti tribali Regni di sciamani E suonatori zingari ribelli [Outro] Nella Bassa Padana Nelle balere estive Coppie di anziani che ballano Vecchi Valzer Viennesi"
"Fisiognomica
      ",1988,Fisiognomica,Leggo dentro i tuoi occhi Da quante volte vivi Dal taglío della bocca Se sei disposto all'odio o all'indulgenza Nel tratto del tuo naso Se sei orgoglioso fiero oppure vile I drammi del tuo cuore Li leggo nelle mani Nelle loro falangi Dispendio o tirchieria Da come ridi e siedi So come fai l'amore Quando ti arrabbi Se propendi all'astio o all'onestà Per cose che non sai e non intendi Se sei presuntuoso od umile Negli archi delle unghie Se sei un puro un avido o un meschino Ma se ti senti male Rivolgiti al Signore Credimi siamo niente Dei miseri ruscelli senza Fonte Vedo quando cammini Se sei borioso fragile o indifeso Da come parli e ascolti Il grado di coscienza Nei muscoli del collo e nelle orecchie: Il tipo di tensioni e di chiusure Dal sesso e dal bacino Se sei più uomo o donna Vivere venti o quarant'anni in più è uguale Difficile è capire ciò che è giusto E che l'Eterno non ha avuto inizio Perché la nostra mente è temporale E il corpo vive giustamente Solo questa vita Ma se ti senti male Rivolgiti al Signore...
"Campi Magnetici - 1 num3r1 non 51 possono amar3
      ",2000,In Trance,[Instrumental]
"Gilgamesh
      ",1992,Pianoforte,[Strumentale]
"Gilgamesh
      ",1992,Liberai una colomba,"[Uomini e Donne] Liberai una colomba, ma ritornò indietro Utanpishtim disse: e ancora un corvo. Misi fuori la rondine, non tornò Misi fuori la rondine e non tornò."
"Dieci Stratagemmi
      ",2004,Conforto alla vita,"Nella sventura non ti colga sgomento Per te non sorga il giorno Che alla tua gioia sia compenso di dolore Ah, quante volte un malefico vento ti colse Ma il soave profumo risaturò subito l'aria Il nembo spesso sovrastò minaccioso Ma fu disperso prima che dal grembo scuro Si scatenasse orribile tempesta Ah, quanto fumo si levò che non fu fiamma Sii forte e sereno anche nei giorni dell'avverso fato In un canneto un vento asciutto e svogliato Portava insieme confusi e inutili pensieri Ah, quante volte alzando gli occhi al cielo Spinte dalle correnti ho visto le nuvole vagare La sera insegna ad attendere il giorno Che arriva come sempre a chiudere i passaggi della notte"
"Genesi
      ",1987,Introduzione I Atto,[Strumentale]
"Ferro Battuto
      ",2001,Il cammino interminabile,Se vuoi conoscere i tuoi pensieri di ieri osserva il tuo corpo oggi Se vuoi sapere come sarai domani osserva i tuoi pensieri di oggi Ci penzi quannu abballamu E dintra all'occhi tutte e dui ni vaddamu Stu novu amicu tò nan sapi nenti... No sapi caia statu ju lu tò amanti Li turchi mi pigghiaru intra lu cori A tradimentu m'arrubbaru l'amuri ‘nzignatimi la via prima cà scura Ca di sti patti stannu d'arretu e mura Si no mi cuccu ‘n terra o ‘nda lu lettu Ca di li vermi sugnu già mangiatu tuttu Si no mi cuccu ‘n terra o ‘nda lu lettu... Curri e na stanca ‘u cavaddu ‘i Monreali ‘U tempu sta finennu na ‘n ci pinzari Macari aceddi sunu stanchi di cantari Su tempu... Mi l'aia passatu tra peni e turmenti Li peni di lu ‘nfernu nan su nenti
"Anthology - Le nostre anime (CD 2)
      ",2015,Il re del mondo - live at arena di verona / 2013,"Strano come il rombo degli aerei Da caccia un tempo Stonasse con il ritmo delle piante Al sole sui balconi ... E poi silenzio ... e poi, lontano Il tuono dei cannoni, a freddo ... E dalle radio dei segnali in codice Un giorno in cielo, fuochi di Bengala ... Ia Pace ritornò Ma il Re del Mondo Ci tiene prigioniero il cuore Nei vestiti bianchi a ruota ... Echi delle danze sufi ... Nelle metro giapponesi, oggi Macchine d'ossigeno Più diventa tutto inutile E più credi che sia vero E il giorno della fine Non ti servirà l'Inglese ... E sulle biciclette verso casa La vita ci sfiorò Ma il Re del Mondo Ci tiene prigioniero il cuore"
"L'Imboscata
      ",1996,..ein Tag aus dem Leben des kleinen Johannes,"..ein Tag aus dem Leben des kleinen Johannes La manina che sbuca pallida dal tuo vestito alla marinara Johann klein Johann Bist du denn ein kleines Mädchen? Was soll aus dir werden Wenn du so fortfährst? Er trank an dem bekränzten Tische Den heißen Tee aus der Untertasse La musica ti sfinisce Ist Demagogie, Blasphemie, und Wahnwitz! Ma tu scoppi d'amore Genug, Tony, genug! Ich bitte dich Was setzest du ihm in den Kopf Er saß, ein wenig über die Tasten gebeugt Sedette e cominciò a improvvisare E I capelli castani gli coprivano le tempie In morbidi ricci Così con malinconia lieve Dies war ein Tag aus dem Leben des kleinen Johannes Genug, Tony, genug! Ich bitte dich Was setzest du ihm in den Kopf Er saß..."
"Caffè De La Paix
      ",1993,Lode all'Inviolato,"Ne abbiamo attraversate di tempeste E quante prove antiche e dure Ed un aiuto chiaro da un'invisibile carezza Di un custode Degna è la vita di colui che è sveglio Ma ancor di più di chi diventa saggio E alla Sua gioia poi si ricongiunge Sia Lode, Lode all'Inviolato E quanti personaggi inutili ho indossato Io e la mia persona quanti ne ha subiti Arido è l'inferno Sterile la sua via Quanti miracoli, disegni e ispirazioni... E poi la sofferenza che ti rende cieco Nelle cadute c'è il perché della Sua Assenza Le nuvole non possono annientare il Sole E lo sapeva bene Paganini Che il diavolo è mancino e subdolo E suona il violino"
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,Un'Altra Vita (Cover 2009),"[Strofa 1] Certe notti per dormire mi metto a leggere E invece avrei bisogno di attimi di silenzio Certe volte anche con te, sai che ti voglio bene Mi arrabbio inutilmente senza una vera ragione [Strofa 2] Sulle strade al mattino il troppo traffico mi sfianca Mi innervosiscono i semafori e gli stop E la sera ritorno con malesseri speciali Non servono tranquillanti o terapie Ci vuole un'altra vita [Strofa 3] Su divani, abbandonati a telecomandi in mano Storie di sottofondo, Dallas e i Ricchi Piangono Sulle strade la terza linea del metrò che avanza E macchine parcheggiate in tripla fila E la sera ritorno con la noia e la stanchezza Non servono più eccitanti o ideologie Ci vuole un'altra vita"
"Caffè De La Paix
      ",1993,Haiku,Seduto sotto un albero a meditare Mi vedevo immobile danzare con il tempo Come un filo d'erba Che si inchina alla brezza di maggio O alle sue intemperie Alla rugiada che si posa sui fiori Quando s'annuncia l'autunno Assomiglio Io che devo svanire E vorrei Sospendermi nel nulla Ridurmi E diventare nulla
"Fleurs 3
      ",2002,Come un sigillo,Ponimi come un sigillo sul tuo cuore Così resterò impresso in te per sempre E tu passavi appena le sottili dita sul prepuzio Poi sfioravi il glande e i sensi celebravano il loro splendore Ed era bello starti ad osservare Confermavi il mondo della coesistenza materiale Ponimi come un sigillo sul tuo cuore Come un sigillo sulle tue braccia Pronuncio il tuo nome contro ogni sventura Vinceva la tristezza il tuo soffio vitale eretico Seguivo le gazzelle veloci Come il sogno che mi passa accanto Ed era bello starti ad osservare Confermavi il tempo della coesistenza materiale Ponimi come un sigillo sul tuo cuore Come un sigillo sulle tue braccia Perché quando sarò in esilio E al buio resterò nelle notti oscure Inconsapevole del divenire
"Nomadas
      ",1987,Bandera blanca,"Mister Tamburino yo no quiero bromear Pongámonos la camiseta, los tiempos cambiarán Somos hijos de la estrella Y biznietos de su majestad el dinero Por fortuna, mi racismo no me deja ver Los programas demenciales con tribuna electoral Aunque llevéis perfumes y desodorantes Sois arenas movedizas, siempre hacia abajo Hay quien se pone unas gafas de sol Por tener más carisma y sintomático misterio Qué difícil es seguir, padre, cuando el hijo crece Y las madres envejecen Cuánta escuálida figura que atraviesa el país Y qué mísera es la vida con abusos de poder En el puente ondea la bandera blanca En el puente ondea la bandera blanca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Yo prefiero la ensalada a Beethoven y Sinatra, a Vivaldi Uvas pasas que me dan más calorías Qué difícil es quedarse quieto, indiferente Mientras todo entorno hace ruido En esta época de locos nos faltaban Los idiotas del horror He oído los disparos en una vía del centro Cuánta estúpida gallina, se pelean para nada Mínima inmoralia, mínima inmoralia Sumergidos sobre todo en basuras musicales En el puente ondea la bandera blanca En el puente ondea la bandera blanca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Minima immoralia... The end My only friend this is the end... Sul ponte sventola bandiera bianca..."
